time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
1080000.0;5;3500.0;1292500.0;0.47;923320;1722340;89.0;1.6;15;100.0;100.0;100.0;100.0;100.0;88.0;88.0;100.0;100.0;75.0;88.0;88.0;100.0;100.0;88.0;88.0;100.0;88.0;100.0;100.0;100.0;88.0;88.0;100.0;100.0;75.0;100.0;88.0;100.0;88.0;88.0;75.0
1080000.0;5;4000.0;886285.6875;0.47;923320;1722340;89.0;0.78;15;88.0;88.0;100.0;88.0;88.0;75.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;88.0;88.0;88.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;88.0;88.0;75.0
1080000.0;5;12000.0;590857.125;0.47;923320;1722340;89.0;1.2;15;100.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;100.0;100.0;87.0;87.0;87.0;100.0;87.0;87.0;75.0;87.0;75.0;100.0;87.0;87.0;87.0;100.0;100.0;100.0;75.0;87.0;62.0
1080000.0;5;3500.0;517000.0;0.47;923320;1722340;89.0;1.6;15;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;100.0;88.0;100.0;100.0;88.0;100.0;100.0;100.0;88.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;100.0;100.0;100.0;88.0;75.0
1080000.0;5;2947.368408;1088421.0;0.47;923320;1722340;89.0;1.6;15;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;75.0;75.0;100.0;87.0;87.0;75.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;75.0;100.0;87.0;75.0;75.0
1080000.0;5;9333.333008;1148888.875;0.47;923320;1722340;89.0;1.6;15;88.0;100.0;88.0;88.0;88.0;88.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;88.0;88.0;100.0;75.0;100.0;88.0;88.0;100.0;88.0;88.0;75.0;88.0;75.0
1080000.0;5;3733.333252;1102933.375;0.47;923320;1722340;89.0;1.2;15;87.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;87.0;87.0;87.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;87.0;87.0;100.0;75.0;100.0;87.0;100.0;87.0
1080010.0;5;4666.666504;689333.3125;0.47;923320;1722340;89.0;1.2;15;100.0;100.0;100.0;88.0;88.0;88.0;88.0;88.0;100.0;88.0;100.0;100.0;88.0;88.0;100.0;75.0;88.0;88.0;88.0;88.0;88.0;88.0;88.0;88.0;100.0;100.0;100.0;75.0;88.0;100.0;100.0;88.0
1080010.0;5;4666.666504;689333.3125;0.47;923320;1722340;89.0;1.2;15;100.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;75.0;87.0;100.0;75.0;100.0;100.0;75.0
1080010.0;5;7000.0;1292500.0;0.47;923320;1722340;89.0;1.2;15;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.0;100.0;100.0;88.0;88.0;100.0;100.0;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;75.0;100.0;75.0;100.0;88.0;100.0;75.0
1080010.0;5;4307.692383;636307.6875;0.47;923320;1722340;89.0;1.2;15;100.0;100.0;100.0;87.0;87.0;87.0;100.0;87.0;100.0;87.0;87.0;87.0;100.0;100.0;100.0;75.0;100.0;87.0;100.0;87.0;75.0;100.0;100.0;75.0;75.0;100.0;87.0;100.0;100.0;100.0;100.0;75.0
1080010.0;5;4307.692383;954461.5625;0.47;923320;1722340;89.0;1.2;15;88.0;100.0;88.0;100.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;88.0;88.0;88.0;88.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;100.0;100.0;88.0;88.0
1080010.0;5;12000.0;1181714.25;0.47;923320;1722340;89.0;1.6;15;100.0;100.0;100.0;88.0;88.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.0;88.0;100.0;88.0;88.0;100.0;100.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;75.0;88.0;100.0;100.0;88.0
1080010.0;5;0.0;344666.65625;0.47;923320;1722340;89.0;1.2;15;88.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;100.0;88.0;88.0;100.0;100.0;100.0;75.0;100.0;88.0;88.0;100.0;75.0;100.0;100.0;100.0;75.0;100.0;100.0;100.0;100.0;100.0;88.0
1080010.0;5;4307.692383;954461.5625;0.47;923320;1722340;89.0;0.79;15;100.0;100.0;87.0;100.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;87.0;100.0;100.0;100.0;100.0;100.0;75.0
