timestamp,"fivegs_pcffunction_pa_policyamassoreq_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policyamassosucc_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policysmassoreq_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_policysmassosucc_total{plmnid=""00101"",snssai=""1""}","fivegs_pcffunction_pa_sessionnbr{plmnid=""00101"",snssai=""1""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:00:00.153000116,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:00.454999924,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:00.763999939,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:01.063999891,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:01.358999968,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:01.654000044,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:01.960999966,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:02.259000063,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:02.558000088,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:02.862999916,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:03.174999952,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:03.470999956,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:03.779000044,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:04.075999975,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:04.358000040,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:04.661999941,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:04.987999916,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:05.267999887,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:05.565000057,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:05.868000031,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:06.160000086,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:06.457999945,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:06.759999990,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:07.068000078,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:07.377000093,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:07.661999941,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:07.973999977,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:08.259000063,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:08.569999933,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:08.864000082,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:09.163000107,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:09.466000080,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:09.763000011,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:10.059999943,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:10.362999916,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:10.667000055,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:10.970999956,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:11.259000063,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:11.565999985,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:11.861999989,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:12.161999941,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
2025-11-14 11:00:12.463999987,69,69,69,69,65,1048576,-1,1878,265879552,44212224,206169,19
