time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
813600961;0;368500;1;41;0.0;-0.00000080;n/a;n/a;n/a;27;inf;1.0;4942.084961;0;0.0;0.0;0.0;28;0.0;39042.472656;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;82;85;84;81;85;87;74;91;82;85;83;85;81;87;86;86;82;84;84;79;82;86;76;89;78;81;86;83;83;86;82;80
813601959;0;368500;1;42;0.0;-0.000011;n/a;n/a;n/a;27;63;1.0;5161.290527;0;0.0;0.0;0.0;28;0.0;40774.195312;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;83;90;79;88;76;78;78;83;81;86;77;84;88;80;83;85;87;88;76;90;76;85;82;87;76;86;79;84;89;83;87;90
813602957;0;368500;1;41;0.0;-0.0000070;n/a;n/a;n/a;27;63;1.0;5182.186035;0;0.0;0.0;0.0;28;0.0;40939.269531;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;82;78;82;83;83;86;90;90;87;88;82;87;84;89;84;88;83;80;81;82;80;88;80;85;85;82;81;83;86;91;81;87
813603955;0;368500;1;42;0.0;-0.0000058;n/a;n/a;n/a;27;inf;1.0;5099.601562;0;0.0;0.0;0.0;28;0.0;40286.851562;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;91;91;82;84;81;88;83;88;80;83;85;83;84;81;78;85;84;81;83;86;84;87;82;84;79;83;88;82;82;81;74;86
813604953;0;368500;1;41;0.0;-0.0000050;n/a;n/a;n/a;27;inf;1.0;5039.370117;0;0.0;0.0;0.0;28;0.0;39811.023438;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;79;89;77;90;87;77;86;87;78;82;86;89;90;80;81;88;78;85;79;86;88;79;86;87;79;83;86;86;89;86;73;88
813605952;0;368500;1;42;0.0;0.0000078;n/a;n/a;n/a;27;inf;1.0;5182.186035;0;0.0;0.0;0.0;28;0.0;40939.269531;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;84;82;93;76;84;84;78;74;78;80;82;84;83;88;81;88;83;76;86;85;82;87;79;75;76;80;79;88;86;89;90;88
813606951;0;368500;1;41;0.0;-0.0000091;n/a;n/a;n/a;27;inf;1.0;5059.288574;0;0.0;0.0;0.0;28;0.0;39968.378906;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;82;87;81;89;83;90;87;81;88;86;84;86;81;85;83;84;83;86;76;84;88;92;88;83;81;83;82;86;80;85;81;67
813607946;0;368500;1;42;0.0;-0.0000054;n/a;n/a;n/a;27;63;1.0;5120.000000;0;0.0;0.0;0.0;28;0.0;40448.000000;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;87;91;74;87;79;85;85;82;85;87;81;85;84;80;81;85;83;86;82;87;82;84;87;85;81;84;87;88;84;83;80;84
813608946;0;368500;1;41;0.0;0.0000012;n/a;n/a;n/a;27;64;1.0;5688.888672;0;0.0;0.0;0.0;28;0.0;44942.222656;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.2;16;85;86;83;80;84;86;77;88;86;80;84;86;88;91;87;84;85;80;84;85;87;86;77;84;84;82;84;84;81;92;85;80
813609943;0;368500;1;41;0.0;-0.0000056;n/a;n/a;n/a;27;64;1.0;5311.203125;0;0.0;0.0;0.0;28;0.0;41958.507812;0;0.0;0.0;0.0;0.0;0.20;786020;1525224;95;1.3;16;83;79;84;83;89;93;82;88;86;87;84;84;82;78;87;85;86;80;84;83;87;93;87;84;90;79;88;87;83;82;83;80
