time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
813600177;0;368500;1;38;0.0;-0.0000011;n/a;n/a;n/a;27;63;1.2;114926.828125;0;0.0;0.0;0.0;28;0.0;150146.343750;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.3;16;81;90;86;67;87;83;79;65;88;68;95;64;83;66;85;68;79;94;83;77;86;92;80;64;87;68;82;63;80;68;76;68
813601178;0;368500;1;35;0.0;-0.0000051;n/a;n/a;n/a;27;64;1.1;495845.562500;0;0.0;0.0;0.0;28;0.0;122749.031250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;87;80;76;71;81;83;83;81;85;69;84;75;80;75;82;69;88;82;81;74;88;79;86;91;83;65;78;77;80;81;81;72
813602174;0;368500;1;34;0.0;-0.0000044;n/a;n/a;n/a;27;70;1.1;494186.250000;0;0.0;0.0;0.0;28;3.0;147012.140625;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;78;74;84;78;79;72;90;94;77;78;91;92;80;90;89;72;86;76;86;62;82;75;87;84;86;81;91;88;75;86;91;77
813603170;0;368500;1;37;0.0;0.0000043;n/a;n/a;n/a;28;inf;1.1;349079.843750;0;0.0;0.0;0.0;28;0.0;168456.281250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;83;68;86;83;82;90;74;78;84;68;87;78;88;91;83;76;85;73;84;86;88;93;84;77;77;68;85;78;83;95;82;74
813604168;0;368500;1;35;0.0;-0.0000017;n/a;n/a;n/a;27;70;1.1;357740.468750;0;0.0;0.0;0.0;28;0.0;132580.156250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;85;80;83;89;82;95;82;79;82;89;88;86;85;87;85;83;75;84;79;85;81;97;82;71;91;86;82;79;85;86;81;87
813605171;0;368500;1;36;0.0;-0.0000064;n/a;n/a;n/a;28;70;1.3;256977.484375;0;0.0;0.0;0.0;28;0.0;125787.781250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.6;16;79;84;92;86;73;93;79;84;73;83;85;84;81;84;82;79;83;88;89;100;75;95;82;85;80;84;83;81;79;82;80;80
813606160;0;368500;1;34;0.0;-0.0000030;n/a;n/a;n/a;27;70;1.1;411663.000000;0;0.0;0.0;0.0;28;0.0;140835.171875;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.5;16;76;77;86;86;78;90;80;85;80;76;83;76;79;80;86;78;76;78;83;96;84;94;81;88;82;83;77;75;77;81;81;87
813607158;0;368500;1;36;0.0;0.0000026;n/a;n/a;n/a;27;70;1.2;206249.062500;0;0.0;0.0;0.0;28;0.0;100981.132812;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.4;16;75;80;76;95;84;94;81;75;88;83;88;77;81;75;88;79;84;84;77;94;81;93;80;73;87;84;89;70;89;73;80;78
813608156;0;368500;1;36;0.0;-0.0000037;n/a;n/a;n/a;27;64;1.1;264602.156250;0;0.0;0.0;0.0;28;116;137663.078125;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.5;16;82;80;81;85;87;94;82;78;79;68;81;75;86;84;88;88;86;78;81;89;89;88;80;77;78;71;85;75;89;90;88;87
813609155;0;368500;1;35;0.0;-0.0000051;n/a;n/a;n/a;27;inf;1.1;430330.437500;0;0.0;0.0;0.0;28;0.0;157634.781250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.3;16;84;81;78;73;79;69;76;83;81;73;90;91;85;92;91;88;87;78;84;72;80;58;78;77;86;68;91;78;81;92;97;85
813610154;0;368500;1;34;0.0;-0.0000056;n/a;n/a;n/a;27;70;1.2;433268.718750;0;0.0;0.0;0.0;28;0.0;137409.687500;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.3;16;83;74;74;76;82;75;85;74;79;71;95;71;82;89;94;68;85;72;83;83;81;65;87;68;85;73;96;73;84;92;97;68
813611152;0;368500;1;34;0.0;-0.0000054;n/a;n/a;n/a;27;64;1.1;547969.250000;0;0.0;0.0;0.0;28;3.0;159476.921875;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.5;16;85;75;87;70;80;67;85;71;87;69;96;84;83;89;89;69;86;74;87;75;76;63;79;74;84;67;90;79;83;94;84;68
813612151;0;368500;1;38;0.0;-0.0000022;n/a;n/a;n/a;27;65;1.2;168826.453125;0;0.0;0.0;0.0;28;58;152528.921875;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.3;16;88;81;84;74;87;87;86;67;80;66;85;73;91;77;86;75;88;84;91;70;82;81;82;71;78;65;83;72;91;76;89;71
813613150;0;368500;1;37;0.0;0.00000070;n/a;n/a;n/a;27;70;1.1;152666.671875;0;0.0;0.0;0.0;28;3.0;128579.710938;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;82;85;75;76;88;82;88;70;82;97;82;68;82;71;85;73;85;83;78;70;81;79;85;67;84;88;85;69;77;71;75;72
813614148;0;368500;1;37;0.0;-0.000015;n/a;n/a;n/a;27;inf;1.1;134623.250000;0;0.0;0.0;0.0;28;0.0;152000.000000;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.2;16;91;72;87;77;91;75;86;72;82;72;77;89;87;94;82;70;85;73;91;84;85;75;86;75;81;76;89;85;90;89;81;61
813615145;0;368500;1;38;0.0;-0.0000020;n/a;n/a;n/a;27;64;1.1;136190.468750;0;0.0;0.0;0.0;28;0.0;149650.796875;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;77;78;92;84;84;83;80;83;79;80;83;91;84;96;81;74;80;70;88;75;86;91;88;82;84;82;89;88;85;95;79;68
813616143;0;368500;1;37;0.0;-0.0000032;n/a;n/a;n/a;27;inf;1.1;166650.609375;0;0.0;0.0;0.0;28;0.0;107887.546875;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;88;80;94;77;82;84;82;76;89;77;80;67;93;74;88;73;84;82;95;71;82;84;82;78;84;84;78;73;89;76;84;67
813617141;0;368500;1;34;0.0;-0.0000026;n/a;n/a;n/a;27;70;1.2;224910.562500;0;0.0;0.0;0.0;28;3.0;138243.906250;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;94;1.4;16;82;72;85;73;88;74;89;82;84;82;87;67;90;92;77;74;85;69;81;79;86;79;81;87;83;75;84;69;96;79;78;75
813618140;0;368500;1;37;0.0;-0.0000073;n/a;n/a;n/a;28;70;1.2;146057.140625;0;0.0;0.0;0.0;28;0.0;121771.429688;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.5;16;78;71;82;79;81;69;86;94;78;79;85;93;77;77;78;76;75;73;84;79;82;76;89;92;82;75;88;96;78;93;81;74
813619139;0;368500;1;36;0.0;-0.000017;n/a;n/a;n/a;28;70;1.2;415494.062500;0;0.0;0.0;0.0;28;0.0;137802.375000;0;0.0;0.0;0.0;0.0;0.20;786052;1525224;95;1.4;16;79;71;78;74;85;81;89;83;86;93;82;85;85;89;86;77;75;69;76;71;82;78;88;80;85;79;85;81;88;88;91;77
